ShowID,Title,Category,Release_Year,Country,Duration,Rating
1,Stranger Things,TV Show,2016,United States,4 Seasons,TV-14
2,Money Heist,TV Show,2017,Spain,5 Seasons,TV-MA
3,The Irishman,Movie,2019,United States,209 min,R
4,Dangal,Movie,2016,India,161 min,PG-13
5,Sacred Games,TV Show,2018,India,2 Seasons,TV-MA
6,Dark,TV Show,2017,Germany,3 Seasons,TV-MA
7,Extraction,Movie,2020,United States,117 min,R
8,Delhi Crime,TV Show,2019,India,1 Season,TV-MA
9,Enola Holmes,Movie,2020,United Kingdom,123 min,PG-13
10,Ludo,Movie,2020,India,150 min,TV-MA
11,The Crown,TV Show,2016,United Kingdom,6 Seasons,TV-MA
12,Article 15,Movie,2019,India,130 min,TV-14
